track_name,genre,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Ve Mahiya - I.F.R.A,pakistani_pop,0.655,0.599,0.45,0.0,4,0.0737,-6.246,0,0.0416,79.024,0.482
Tum Mil Gaye - Vital Signs,pakistani_pop,0.281,0.662,0.42,0.0685,2,0.0572,-17.049,1,0.0294,128.47,0.473
The Sibbi Song - SomeWhatSuper,pakistani_pop,0.02,0.887,0.722,0.0,1,0.066,-5.889,1,0.079,119.97,0.697
Sar Kiye Yeh Pahar: Red Bull Soundclash (Live) - Strings,pakistani_pop,0.0143,0.41,0.652,1.54e-05,0,0.727,-8.734,1,0.04,98.036,0.116
Zindagi Tamasha [Original Motion Picture Soundtrack] - Saakin,pakistani_pop,0.156,0.429,0.256,2.56e-05,5,0.398,-16.208,0,0.0291,69.973,0.132
Sar Kiye Yeh Pahar - Strings,pakistani_pop,0.000645,0.614,0.694,0.0427,0,0.388,-7.516,1,0.0266,104.924,0.762
Nasha - Ali Noor,pakistani_pop,0.028,0.672,0.928,0.0,0,0.328,-3.691,1,0.0776,129.957,0.676
Meray Log - Noori,pakistani_pop,0.0805,0.597,0.534,0.0171,1,0.168,-9.937,1,0.0264,117.049,0.504
Meri Kahani - Atif Aslam,pakistani_pop,0.182,0.551,0.779,1.37e-06,4,0.361,-6.335,1,0.0639,145.119,0.734
Mein Idhar Khara Hoon - Sikandar Ka Mandar,pakistani_pop,0.415,0.512,0.561,1.21e-05,7,0.466,-14.171,1,0.0548,98.09,0.424
Badshah - Sikandar Ka Mandar,pakistani_pop,0.229,0.402,0.206,0.393,9,0.0848,-17.281,1,0.0323,118.293,0.152
Hum Dekhenge - Coke Studio Season 11 - Zohaib Kazi,pakistani_pop,0.563,0.564,0.632,1.31e-06,8,0.103,-8.143,1,0.145,182.063,0.532
Sajan - Mekaal Hasan Band,pakistani_pop,0.727,0.546,0.634,1.22e-05,9,0.204,-7.35,1,0.0309,130.112,0.435
Jal Pari - Atif Aslam,pakistani_pop,0.0975,0.623,0.68,3.84e-05,2,0.113,-12.356,1,0.0429,105.958,0.259
Gulon Main Rang - Ali Sethi,pakistani_pop,0.608,0.393,0.288,0.00137,4,0.336,-16.103,1,0.0352,148.109,0.362
Phir Aa - I.F.R.A,pakistani_pop,0.533,0.619,0.207,0.01,7,0.0933,-11.325,1,0.0364,119.943,0.301
Duur - Strings,pakistani_pop,0.0148,0.624,0.804,0.00326,5,0.0867,-7.602,1,0.044,117.885,0.616
Anjane - Strings,pakistani_pop,0.000458,0.528,0.717,0.00124,3,0.0695,-9.618,1,0.0359,102.945,0.426
Alvida - Karakoram,pakistani_pop,0.357,0.538,0.344,0.000205,2,0.103,-12.08,1,0.0295,144.955,0.214
Tu Hai Kahan - Strings,pakistani_pop,0.0344,0.63,0.759,0.000735,8,0.117,-9.503,1,0.0584,111.948,0.724
Laage Re Nain - Ayesha Omar,pakistani_pop,0.649,0.632,0.49,0.0,10,0.198,-9.301,0,0.0407,82.976,0.67
Teri Ay - Umer Farooq,pakistani_pop,0.617,0.666,0.456,0.00166,9,0.127,-9.429,1,0.0262,100.008,0.276
Raat - The Sketches,pakistani_pop,0.887,0.587,0.326,0.000248,0,0.0755,-11.635,1,0.0263,109.946,0.232
Akhiyan Udeek Diyan - Asfar Hussain,pakistani_pop,0.0104,0.616,0.855,7.33e-06,5,0.0757,-6.503,1,0.0426,112.788,0.321
Khamaj - Fuzon,pakistani_pop,0.499,0.645,0.402,1.79e-05,6,0.362,-14.454,1,0.0299,80.056,0.438
Chaap Tilak - Abida Parveen,pakistani_pop,0.494,0.544,0.679,0.0,1,0.12,-5.105,0,0.0456,123.955,0.388
Teri Haar Hum - Call,pakistani_pop,0.156,0.524,0.865,1.23e-06,4,0.318,-6.04,0,0.0583,124.905,0.525
Akela Hun Main - Raeth,pakistani_pop,0.392,0.466,0.522,0.000227,7,0.0856,-7.21,1,0.0267,160.089,0.2
Farda - Bayaan,pakistani_pop,0.00956,0.538,0.726,2.79e-06,0,0.104,-6.222,1,0.0373,104.925,0.323
Aitebar - Vital Signs,pakistani_pop,0.324,0.584,0.288,0.000209,4,0.307,-13.57,1,0.0261,147.848,0.356
Pagal - Ali Noor,pakistani_pop,0.0407,0.581,0.926,1.6e-05,2,0.248,-4.167,1,0.0408,128.034,0.558
Bachana - Bilal Khan,pakistani_pop,0.866,0.795,0.25,0.0,6,0.124,-9.678,1,0.0304,97.967,0.516
Patang - Umer Farooq,pakistani_pop,0.528,0.224,0.32,3.57e-05,0,0.0842,-13.896,0,0.0295,180.049,0.0828
Baat Barti Gayi - Mauj,pakistani_pop,0.178,0.468,0.674,0.0,9,0.657,-8.94,1,0.0301,150.055,0.363
Aakhon ke Sagar - Shafqat Amanat Ali,pakistani_pop,0.0338,0.381,0.363,0.000246,4,0.128,-14.204,1,0.0288,101.975,0.229
Ravi - Sajjad Ali,pakistani_pop,0.704,0.711,0.615,2.66e-06,8,0.12,-6.822,1,0.0342,128.009,0.375
Aata Nahi - Kohraam,pakistani_pop,0.815,0.284,0.362,0.0162,5,0.157,-12.385,1,0.0285,94.991,0.108
Saari Raat - Noori,pakistani_pop,0.0466,0.416,0.429,0.000187,1,0.288,-15.063,0,0.0618,130.32,0.205
Nahin Milta - Bayaan,pakistani_pop,0.856,0.325,0.378,0.000412,10,0.102,-12.695,1,0.0436,119.691,0.242
Sapne - Shamoon Ismail,pakistani_pop,0.948,0.277,0.141,0.0399,0,0.277,-14.688,1,0.0309,94.022,0.0649
Nadiya - Jimmy Khan,pakistani_pop,0.789,0.671,0.736,1.89e-06,0,0.14,-6.593,1,0.0325,90.022,0.743
Neend Ati Nahi - Junoon,pakistani_pop,0.695,0.609,0.714,0.00313,2,0.112,-9.548,1,0.0444,123.129,0.57
Main Aur Tum - Rono,pakistani_pop,0.908,0.622,0.114,1e-06,4,0.136,-14.821,1,0.0609,155.794,0.237
Tou Suno - Qasim Ben Tariq,pakistani_pop,0.632,0.687,0.365,0.00615,9,0.106,-10.937,1,0.0292,108.469,0.549
Upside Down - Amna Riaz,pakistani_pop,0.965,0.236,0.0361,0.00144,2,0.294,-20.674,1,0.0397,136.84,0.104
Though I Know - Tajdar Junaid,pakistani_pop,0.575,0.632,0.371,0.0111,5,0.0785,-11.62,1,0.0269,81.996,0.445
Faasle - Kaavish,pakistani_pop,0.176,0.531,0.468,0.0,8,0.149,-8.538,1,0.0319,119.966,0.322
Sitaron Se - Umer Farooq,pakistani_pop,0.0582,0.604,0.348,0.0843,3,0.108,-12.245,1,0.031,120.002,0.431
Ram Pam - Zoe Viccaji,pakistani_pop,0.537,0.775,0.499,0.000798,10,0.0714,-13.322,1,0.0693,128.041,0.745
Purane Aur Naye Sawal - Nishtar Park,pakistani_pop,0.836,0.637,0.441,1.29e-05,7,0.337,-7.79,1,0.0271,90.035,0.724
Ikisvi Sadi - Biryani Brothers,pakistani_pop,0.902,0.425,0.334,0.0249,11,0.115,-13.651,1,0.0341,75.007,0.16
Paimona - Zeb & Haniya,pakistani_pop,0.595,0.515,0.33,0.000339,6,0.113,-14.503,1,0.0424,139.954,0.368
Hum Tum (feat. Adil Habib) - SomeWhatSuper,pakistani_pop,0.501,0.757,0.743,0.00025,1,0.0844,-7.7,1,0.0761,125.013,0.162
Na Kaho - Aaroh,pakistani_pop,0.416,0.433,0.498,0.0,4,0.0978,-7.114,1,0.027,79.516,0.21
Bandook - SomeWhatSuper,pakistani_pop,0.01,0.658,0.904,0.0136,2,0.0693,-4.662,0,0.062,110.034,0.208
Pagal Hogaya - Janoobi Khargosh,pakistani_pop,0.783,0.454,0.613,0.0228,2,0.147,-9.277,0,0.0329,119.934,0.312
Saari Duniya - Bohemia,pakistani_pop,0.277,0.593,0.582,0.0,11,0.0711,-11.55,0,0.218,82.088,0.609
Lights - Ali Suhail,pakistani_pop,0.475,0.342,0.376,0.0785,4,0.116,-13.955,1,0.0308,110.024,0.0397
Abhi Thehro - In the Box,pakistani_pop,0.96,0.554,0.209,0.000166,4,0.143,-10.783,1,0.0331,119.869,0.466
Bakwas - Shajie,pakistani_pop,0.968,0.726,0.234,0.785,2,0.119,-13.376,1,0.0438,120.154,0.191
Purani Jeans - Ali Haider,pakistani_pop,0.236,0.769,0.713,0.000105,0,0.167,-7.711,1,0.0313,91.941,0.895
Mera Pyar - Kashmir,pakistani_pop,0.696,0.224,0.562,0.0105,9,0.166,-7.301,1,0.03,79.612,0.192
Mera Bichraa Yaar - Strings,pakistani_pop,0.0611,0.687,0.633,0.0175,7,0.0874,-7.638,1,0.0333,109.985,0.61
Naina - Strings,pakistani_pop,0.583,0.605,0.458,1.1e-05,9,0.0721,-7.64,1,0.027,68.993,0.432
Sajni - Strings,pakistani_pop,0.217,0.512,0.818,0.00267,4,0.143,-5.663,1,0.0377,156.054,0.435
Koi Aanay Wala Hai - Strings,pakistani_pop,0.0886,0.542,0.743,9.68e-05,2,0.34,-6.648,1,0.0335,119.987,0.364
Ranjish Hi Sahi - Ali Sethi,pakistani_pop,0.482,0.654,0.424,2.1e-05,11,0.139,-9.535,1,0.0289,130.03,0.297
Hey Ya - Noori,pakistani_pop,0.27,0.593,0.798,0.0,0,0.104,-7.395,1,0.0458,144.07,0.466
Lay - Umair Ali,pakistani_pop,0.484,0.62,0.685,0.949,0,0.11,-11.149,1,0.0512,111.993,0.351
Teray Saath - Ali Noor,pakistani_pop,0.0819,0.542,0.765,0.0,6,0.331,-4.599,0,0.032,82.101,0.227
Do Hi Rastay Hain - Mehdi Maloof,pakistani_pop,0.615,0.753,0.289,0.0,1,0.0941,-15.343,0,0.0431,104.969,0.642
1947 - Mehdi Maloof,pakistani_pop,0.551,0.536,0.596,0.236,2,0.299,-4.859,1,0.0295,75.016,0.125
Gandi Si Building - Mehdi Maloof,pakistani_pop,0.804,0.787,0.32,0.0,9,0.103,-13.481,0,0.102,128.046,0.794
Peero - Mehdi Maloof,pakistani_pop,0.341,0.672,0.546,0.000289,9,0.16,-8.654,0,0.036,147.907,0.445
Kaheen Main Khirki - Live at the RTF Studio - Mehdi Maloof,pakistani_pop,0.884,0.573,0.358,0.000104,1,0.39,-8.548,0,0.029,91.261,0.424
Dabbay - Amna Riaz,pakistani_pop,0.982,0.194,0.284,0.000801,1,0.0969,-12.002,1,0.0339,173.112,0.142
Roonay Laga - Mooroo,pakistani_pop,0.502,0.751,0.546,0.000482,7,0.116,-10.739,1,0.0519,120.085,0.531
Mein Koun Houn - Mooroo,pakistani_pop,0.782,0.578,0.417,0.00339,0,0.387,-12.107,1,0.0517,74.523,0.189
Za Sta Pashan Nayum - Naseer And Shahab,pakistani_pop,0.00985,0.416,0.828,0.000108,2,0.0578,-5.072,1,0.0403,104.906,0.649
Khwaaboun Kee Rani - Mooroo,pakistani_pop,0.338,0.67,0.396,0.0,7,0.115,-10.921,1,0.0295,125.064,0.123
Ma Ami - Mooroo,pakistani_pop,0.422,0.469,0.534,3.03e-05,7,0.13,-11.623,1,0.1,134.578,0.232
Naach - Mooroo,pakistani_pop,0.339,0.851,0.588,0.0,7,0.0993,-11.87,1,0.204,100.724,0.869
Davinci at the Grace - Mooroo,pakistani_pop,0.898,0.399,0.232,0.0,1,0.109,-12.755,0,0.0445,129.419,0.336
Bohran - Mooroo,pakistani_pop,0.268,0.466,0.642,1.47e-06,11,0.246,-8.707,0,0.0759,110.461,0.302
Khatma - Mooroo,pakistani_pop,0.149,0.668,0.571,0.00453,5,0.088,-10.201,1,0.125,158.031,0.392
Woh Jahan - Black Hour,pakistani_pop,0.00348,0.509,0.664,0.0,9,0.121,-5.448,1,0.0272,157.992,0.347
Hun Kee Karaan - Mooroo,pakistani_pop,0.863,0.423,0.133,0.00164,4,0.0902,-11.984,1,0.039,134.088,0.145
Dil Khirki - Mehdi Maloof,pakistani_pop,0.164,0.844,0.502,0.0,0,0.408,-10.19,1,0.0492,96.008,0.88
Gagar - Umair Jaswal,pakistani_pop,0.0249,0.614,0.744,3.04e-06,7,0.509,-5.977,1,0.0625,113.979,0.688
Kadi Te Has Bol - Atif Aslam,pakistani_pop,0.575,0.658,0.55,1.85e-06,2,0.174,-10.187,0,0.046,106.961,0.577
Pyaar Ka Rog - Strings,pakistani_pop,0.0187,0.392,0.835,0.000208,4,0.0695,-6.839,0,0.0479,183.935,0.18
Baby Baby - Natasha Noorani,pakistani_pop,0.384,0.583,0.608,5.76e-06,9,0.0909,-7.266,1,0.11,172.308,0.466
Survivors - Janoobi Khargosh,pakistani_pop,0.299,0.617,0.458,0.0413,1,0.109,-8.336,1,0.0236,90.017,0.334
Us Rah Par - Ali Zafar,pakistani_pop,0.593,0.446,0.7,9.49e-06,9,0.104,-7.494,1,0.0345,94.884,0.292
Abhi Abhi - Natasha Humera Ejaz,pakistani_pop,0.945,0.516,0.372,0.101,10,0.314,-7.809,1,0.0411,136.327,0.734
Tera Naam - Sajjad Ali,pakistani_pop,0.146,0.548,0.593,1.1e-06,2,0.245,-6.152,1,0.0347,144.315,0.753
Patang (After Hours Mix) [feat. Umer Farooq] - SomeWhatSuper,pakistani_pop,0.0524,0.594,0.537,0.000277,0,0.325,-9.225,0,0.101,96.977,0.293
Baadal - Misbah,pakistani_pop,0.486,0.64,0.514,0.912,0,0.0824,-13.317,1,0.0302,119.99,0.411
Roshe - Zeb Bangash,pakistani_pop,0.599,0.463,0.188,0.00184,5,0.125,-17.843,1,0.0273,90.107,0.0725
Na Kaho - Aaroh,pakistani_pop,0.231,0.118,0.459,5.39e-05,4,0.618,-13.593,1,0.0339,51.217,0.154
Hamesha - Entity Paradigm,pakistani_pop,0.0342,0.427,0.743,0.00959,4,0.565,-6.571,0,0.06,160.044,0.138
Daira-e-ufuq - Rutaba Yaqub,pakistani_pop,0.061,0.684,0.727,0.411,11,0.453,-9.468,0,0.107,109.978,0.786
Lafz - Live at Pepsi Battle of the Bands - Auj,pakistani_pop,0.0631,0.498,0.457,0.0059,2,0.754,-10.706,1,0.0331,150.14,0.134
Yeh Hai Meri Kahani (Version I) - Strings,pakistani_pop,0.0679,0.571,0.62,0.000544,5,0.101,-9.689,1,0.0392,157.998,0.581
Hum Kal Mein - Janoobi Khargosh,pakistani_pop,0.549,0.548,0.568,0.91,2,0.0639,-11.992,1,0.0397,135.954,0.122
Parinda - Jal -The Band,pakistani_pop,0.573,0.543,0.45,0.000385,1,0.0874,-11.102,0,0.037,78.948,0.333
Dou Pal - Taha G,pakistani_pop,0.265,0.74,0.64,7.7e-05,0,0.125,-9.931,1,0.0399,118.019,0.376
Baad Ki Baatein - Maanu,pakistani_pop,0.118,0.663,0.679,0.0,11,0.0754,-7.132,1,0.117,142.063,0.827
Sab Theek Ho Jaye Ga - Biryani Brothers,pakistani_pop,0.539,0.617,0.617,0.02,11,0.413,-11.645,0,0.0419,104.971,0.822
Battakhain - Shajie,pakistani_pop,0.303,0.614,0.445,0.739,2,0.619,-9.083,1,0.0353,59.473,0.388
Pardadari - Abida Parveen,pakistani_pop,0.275,0.606,0.699,0.0,3,0.314,-9.253,1,0.0556,118.074,0.513
Ujaloun Mein - Faraz Anwar,pakistani_pop,0.00964,0.41,0.821,1.63e-06,8,0.0889,-5.335,1,0.0315,98.824,0.513
Teri Tasveer - Bayaan,pakistani_pop,0.655,0.549,0.432,0.227,1,0.0907,-9.741,0,0.0295,118.941,0.229
Pehla Pyar - Jimmy Khan,pakistani_pop,0.549,0.65,0.62,0.0,7,0.129,-6.11,1,0.0417,126.031,0.475
Jaag Rahi - Fariha Pervez,pakistani_pop,0.277,0.595,0.355,1.51e-06,8,0.101,-12.628,1,0.0341,135.972,0.32
Khwaab - Maanu,pakistani_pop,0.209,0.684,0.619,9.31e-05,0,0.497,-8.811,0,0.0579,100.009,0.712
Jaanu Na - Abdul Hannan,pakistani_pop,0.713,0.285,0.223,0.000111,5,0.123,-14.91,1,0.0291,96.023,0.136
Zalim Nazron Se - Ali Haider,pakistani_pop,0.0397,0.779,0.398,7.95e-05,2,0.0799,-19.725,1,0.0405,112.043,0.916
Khona Tha - Hasan Raheem,pakistani_pop,0.434,0.765,0.71,0.0336,10,0.166,-10.081,1,0.0485,119.981,0.883
Be Myself - Abdullah Siddiqui,pakistani_pop,0.0916,0.632,0.444,1.46e-05,0,0.0934,-7.936,0,0.166,179.903,0.58
Mera Musafir - Bayaan,pakistani_pop,0.778,0.326,0.451,0.0341,7,0.0983,-9.228,1,0.03,99.979,0.357
Kahaani Puraani - Mooroo,pakistani_pop,0.773,0.505,0.271,9.76e-05,4,0.128,-13.555,1,0.043,75.272,0.401
Muhinja Saathi - Live - The Sketches,pakistani_pop,0.364,0.796,0.447,0.00193,11,0.163,-10.753,0,0.0632,95.983,0.896
Janay Kiun - Zoha Zuberi,pakistani_pop,0.277,0.506,0.653,0.000406,11,0.462,-6.976,0,0.0385,108.58,0.669
Chand Si Banu - Sikandar Ka Mandar,pakistani_pop,0.614,0.529,0.366,3.53e-05,4,0.36,-11.427,0,0.08,89.904,0.334
Tum Kaafi Ho - Zahra Paracha,pakistani_pop,0.913,0.552,0.104,0.0509,11,0.12,-18.107,1,0.0373,82.315,0.225
Maidaan - Khumariyaan,pakistani_pop,0.00789,0.671,0.941,0.901,6,0.357,-5.289,0,0.0303,140.011,0.769
Insha Jee Utho - Amanat Ali Khan,pakistani_pop,0.753,0.46,0.692,0.000189,9,0.198,-6.521,1,0.0366,80.327,0.728
Ghoom Taana - Momina Mustehsan,pakistani_pop,0.0301,0.287,0.712,0.000598,6,0.101,-6.521,1,0.035,112.015,0.561
Soye Ja - Parvaaz,pakistani_pop,0.165,0.429,0.429,0.116,8,0.102,-8.876,0,0.0267,139.879,0.186
Duhrao - Auj,pakistani_pop,0.0559,0.356,0.577,3.93e-05,4,0.0699,-9.382,1,0.0326,147.765,0.276
Bolo Bolo - Strings,pakistani_pop,0.075,0.7,0.692,0.213,3,0.138,-10.344,1,0.0596,127.941,0.819
Din Dhalay - Bayaan,pakistani_pop,0.792,0.41,0.271,0.000986,4,0.114,-14.057,0,0.0302,154.772,0.117
Haaray - Abdul Hannan,pakistani_pop,0.634,0.716,0.29,7.3e-05,9,0.0987,-12.098,1,0.0332,90.019,0.281
Chal Raha Hoon - Umair Jaswal,pakistani_pop,0.399,0.395,0.336,0.000194,3,0.0937,-16.366,1,0.0377,145.983,0.137
Tifl - Bayaan,pakistani_pop,0.89,0.445,0.255,0.000269,4,0.236,-13.292,0,0.0399,119.389,0.136
Faryaad - Bayaan,pakistani_pop,0.3,0.62,0.456,8.38e-05,6,0.102,-9.494,0,0.026,106.963,0.304
Daikho - Kaavish,pakistani_pop,0.511,0.49,0.481,0.015,3,0.101,-13.593,1,0.0298,180.013,0.446
Slow - Gentle Robot,pakistani_pop,0.258,0.634,0.585,0.0136,7,0.0981,-10.142,1,0.0357,79.999,0.752
Mein Hoon - Shahrukh Sarfraz,pakistani_pop,0.15,0.583,0.618,0.0129,1,0.15,-9.556,0,0.0268,110.021,0.274
Lehr - Shahrukh Sarfraz,pakistani_pop,0.0765,0.631,0.721,2.38e-05,2,0.063,-8.513,0,0.0258,115.021,0.492
Uth Shah - SomeWhatSuper,pakistani_pop,0.258,0.737,0.846,0.0,1,0.11,-4.99,0,0.0727,109.994,0.163
Aoge Tou Ayein Ge - SomeWhatSuper,pakistani_pop,0.00305,0.465,0.741,0.000464,2,0.257,-6.378,1,0.107,179.972,0.372
Kaash - Faakhir,pakistani_pop,0.302,0.547,0.634,0.0,9,0.108,-8.067,1,0.0395,83.925,0.285
Mujhay Baar Baar - Abbas Ali Khan,pakistani_pop,0.372,0.645,0.597,0.0,2,0.254,-6.857,1,0.0267,106.059,0.271
Aaj Bazaar Mein - Bayaan,pakistani_pop,0.787,0.283,0.0915,0.0754,2,0.0867,-19.973,1,0.0358,175.221,0.116
Duur: Red Bull Soundclash (Live) - Strings,pakistani_pop,0.0274,0.307,0.686,6.44e-06,5,0.418,-8.011,1,0.0611,115.042,0.231
Jeep Racey - TG King,pakistani_pop,0.253,0.784,0.759,0.0,7,0.197,-6.126,1,0.0682,102.0,0.647
Mera Dost Pareshan Hai - Mehdi Maloof,pakistani_pop,0.815,0.632,0.324,1.39e-05,4,0.102,-12.066,1,0.0386,114.949,0.418
Thori Dair Aur - Arsalan Hasan,pakistani_pop,0.944,0.625,0.105,0.0259,8,0.316,-19.398,0,0.0281,138.967,0.155
Tera Suna - Auj,pakistani_pop,0.166,0.504,0.432,0.000144,0,0.121,-10.675,1,0.0298,129.966,0.16
Hum Nadaan - Bayaan,pakistani_pop,0.308,0.508,0.728,0.000225,1,0.416,-5.776,0,0.0639,104.979,0.211
Roshni - KMRN,pakistani_pop,0.566,0.609,0.688,0.0227,1,0.0737,-6.266,1,0.0332,115.984,0.264
Chaltay Rahein - Kaavish,pakistani_pop,0.22,0.607,0.511,0.00647,0,0.0817,-12.547,0,0.0249,87.954,0.528
Mein - Meesha Shafi,pakistani_pop,0.534,0.369,0.433,0.811,9,0.0938,-12.0,0,0.0292,78.073,0.201
Mast Hua - Asrar,pakistani_pop,0.345,0.656,0.422,0.0,10,0.0896,-8.201,1,0.0529,89.847,0.845
Jab Se Tu Ne - Khamaaj,pakistani_pop,0.255,0.253,0.38,0.0239,8,0.143,-14.218,0,0.0351,83.832,0.189
Nindiya Ke Paar - Uzair Jaswal,pakistani_pop,0.493,0.642,0.444,4.44e-06,9,0.0565,-12.87,1,0.0333,80.003,0.429
Sufi Medley - Abdullah Qureshi,pakistani_pop,0.106,0.264,0.614,6.98e-05,3,0.653,-8.154,1,0.0305,78.049,0.475
Balaghal-Ula Bi-Kamaalihi - Ali Zafar,pakistani_pop,0.403,0.481,0.661,0.0,10,0.132,-7.113,1,0.0502,141.58,0.255
Zindagi Se Darte Ho - Nishtar Park,pakistani_pop,0.512,0.393,0.706,0.0848,4,0.103,-6.93,1,0.0411,180.231,0.155
Kuch Aisa - Xulfi,pakistani_pop,0.398,0.631,0.487,0.0,7,0.123,-7.227,0,0.0243,90.524,0.558
Laiyan Laiyan - Saad Sultan,pakistani_pop,0.923,0.682,0.211,0.000116,11,0.131,-13.261,1,0.0309,135.06,0.304
Aaja Re Moray Saiyaan - Coke Studio Season 9 - Zeb Bangash,pakistani_pop,0.541,0.622,0.643,0.0,7,0.114,-6.227,1,0.0322,91.996,0.446
Alif Allah Chambey Di Booty - Arif Lohar,pakistani_pop,0.41,0.685,0.722,0.0,3,0.0886,-5.166,0,0.111,159.983,0.837
Janay Na Tu (Coke Studio Season 9) - Ali Khan,pakistani_pop,0.514,0.537,0.786,1.48e-06,7,0.111,-6.838,0,0.0372,119.99,0.174
Khakhi Banda - Ahmed Jehanzeb,pakistani_pop,0.255,0.348,0.685,0.0,0,0.151,-4.569,1,0.0421,183.717,0.347
Man Kunto Maula - Javed Bashir,pakistani_pop,0.112,0.568,0.858,0.0,0,0.101,-4.777,1,0.041,120.007,0.522
Mahi Ve - Faakhir,pakistani_pop,0.0376,0.777,0.696,0.0,0,0.128,-5.51,0,0.0377,143.022,0.895
Tamasha (feat. Bohemia) - Sajjad Ali,pakistani_pop,0.317,0.691,0.903,0.0,8,0.0674,-5.101,1,0.0796,90.052,0.873
Billo De Ghar - Abrar Ul Haq,pakistani_pop,0.193,0.772,0.715,0.000686,11,0.111,-11.749,1,0.0358,112.725,0.848
Ballay Ballay - Coke Studio Season 11 - Aima Baig,pakistani_pop,0.0762,0.737,0.81,0.0,10,0.0972,-5.656,0,0.0727,132.03,0.784
Dil Pareshan Hai - Sajjad Ali,pakistani_pop,0.217,0.746,0.57,0.000217,8,0.112,-6.4,1,0.0271,104.014,0.663
Dil Kay Isharay - Taha G,pakistani_pop,0.33,0.822,0.498,0.0018,1,0.137,-7.294,1,0.033,114.019,0.483
Jaanay Do - JoSh,pakistani_pop,0.0216,0.588,0.547,0.00044,2,0.353,-13.321,1,0.0247,91.022,0.653
Toomba - Saieen Zahoor,pakistani_pop,0.00519,0.56,0.728,0.0102,5,0.337,-11.284,1,0.0521,84.907,0.918
Kinara - Atif Aslam & Riaz Ali Khan,pakistani_pop,0.12,0.544,0.665,0.0371,9,0.219,-12.195,1,0.0315,156.008,0.723
"Chal Diyay - Zeb, Haniya & Javed Bashir",pakistani_pop,0.462,0.533,0.372,8.37e-05,1,0.23,-13.701,1,0.0309,130.005,0.196
Jo Merey - Noori,pakistani_pop,0.0416,0.602,0.452,0.000266,4,0.063,-12.964,1,0.0316,122.927,0.411
Titiliyaan - Strings,pakistani_pop,0.125,0.535,0.315,0.00176,2,0.0724,-14.55,1,0.024,86.042,0.273
Kaghazi - Poor Rich Boy,pakistani_pop,0.643,0.824,0.284,0.0399,6,0.129,-16.136,1,0.0393,125.995,0.886
Tasveer - Mooroo,pakistani_pop,0.802,0.698,0.461,0.114,2,0.342,-9.581,1,0.0374,140.05,0.243
Filhaal - Towers,pakistani_pop,0.128,0.773,0.549,0.00666,8,0.126,-8.739,0,0.0608,116.027,0.544
Ramooz-e-Ishq - Abida Parveen,pakistani_pop,0.251,0.657,0.481,0.0,1,0.0829,-10.775,1,0.0326,125.14,0.749
Aja Re Aja - Ali Noor,pakistani_pop,0.37,0.791,0.506,0.0,4,0.13,-11.718,1,0.0427,119.956,0.808
